Country names,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Guatemala,72,82,29,31,26,60,24,14,16582.469,417.039,12,73.409,81.2859,85.45007
Guinea,14,235,89,94,84,139,58,25,12395.924,441.514,39,60.015,32.00386,75.65523
Guinea–Bissau,15,219,88,96,80,130,58,38,1815.698,65.794,6,57.403,45.58116,68.23333
Guyana,66,60,32,37,28,46,27,20,773.303,15.916,1,66.65,85.63973,81.36664
Haiti,27,145,67,73,61,100,51,25,10847.334,262.887,17,63.33,48.68502,
Holy See,,,,,,,,,0.801,,,,,
Honduras,92,58,19,21,17,45,16,10,9112.867,197.819,4,73.575,88.98748,93.03652
Hungary,157,17,5,6,5,15,4,3,9753.281,88.128,0,75.944,,90.60597
Iceland,192,6,2,2,2,5,2,1,332.474,4.454,0,82.749,,99.05151
India,53,126,43,42,44,88,35,25,1324171.354,25243.769,1081,68.56,69.30256,92.25846
Indonesia,76,84,26,29,23,62,22,14,261115.456,4991.134,131,69.191,95.37697,89.7373
Iran (Islamic Republic of),106,57,15,16,15,44,13,10,80277.428,1355.166,20,75.953,84.70524,99.16791
Iraq,68,54,31,34,28,42,26,18,37202.572,1211.574,38,69.862,43.68328,92.3117
Ireland,164,9,4,4,3,8,3,2,4726.078,68.565,0,81.476,,95.03199
Israel,164,12,4,4,3,10,3,2,8191.828,166.5,1,82.5,,97.20388
Italy,179,10,3,4,3,8,3,2,59429.938,495.161,2,82.99,98.84828,97.19497
Jamaica,106,30,15,17,13,25,13,11,2881.355,48.271,1,75.97,79.92012,92.45078
Japan,179,6,3,3,3,5,2,1,127748.513,1053.436,3,83.764,,99.95001
Jordan,95,37,18,19,17,30,15,11,9455.802,243.088,4,74.329,97.89032,89.19845
Kazakhstan,126,52,11,13,10,44,10,6,17987.736,384.948,4,69.877,99.78163,87.3821
Kenya,47,98,49,53,45,63,36,23,48461.567,1503.665,74,67.032,78.73304,84.87439
Kiribati,40,96,54,59,49,69,42,23,114.395,3.211,0,66.317,,95.21327
Kuwait,142,18,8,9,8,15,7,4,4052.584,64.72,1,74.694,95.68545,92.87294
Kyrgyzstan,85,65,21,24,19,54,19,12,5955.734,152.138,3,70.953,99.24343,89.31618
Lao People's Democratic Republic,31,162,64,70,58,111,49,29,6758.353,162.586,10,66.683,58.28794,92.71189
Latvia,157,17,5,5,4,13,4,2,1970.53,20.151,0,74.589,99.8959,96.09931
Lebanon,142,33,8,8,8,27,7,5,6006.668,85.906,1,79.584,91.18419,81.77372
Lesotho,8,91,94,101,86,73,72,39,2203.821,61.253,6,54.174,76.6352,80.16474
Liberia,27,258,67,72,62,172,51,23,4613.823,156.767,10,62.505,42.94108,37.61393
Libya,118,42,13,14,12,36,11,7,6293.253,127.429,2,71.934,,
Liechtenstein,,,,,,,,,37.666,,,,,94.30104
Lithuania,157,15,5,6,5,12,4,3,2908.249,31.17,0,74.637,99.8156,97.81403
Luxembourg,192,9,2,3,2,7,2,2,575.747,6.357,0,81.798,,92.96639
Madagascar,50,160,46,51,42,97,34,19,24894.551,811.519,37,65.932,71.57262,77.07133
Malawi,38,232,55,60,50,137,39,23,18091.575,653.251,36,63.223,62.14354,97.48386
Malaysia,142,17,8,9,8,14,7,4,31187.265,523.936,4,75.3,93.11789,98.09168
Maldives,133,94,9,9,8,68,7,5,427.756,7.818,0,77.339,98.61012,94.79558
Mali,5,254,111,115,105,130,68,36,17994.837,757.528,82,57.966,33.06889,55.7207
Malta,151,11,7,7,6,10,6,5,429.362,4.204,0,80.854,93.30736,98.4465
Marshall Islands,59,51,35,39,31,40,29,16,53.066,,0,,98.26508,77.33046
Mauritania,18,117,81,88,74,71,54,34,4301.018,144.602,12,63.238,45.50378,79.20634
